MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
60.0,0.259,65.0,8450.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1826,0.3097,0.043,0.1133,0.1256,0.2426,0.1593,7.0,5.0,2003.0,2003.0,0.1505,0.1048,0.0856,0.0765,0.2028,196.0,0.2786,0.2509,0.2331,0.2273,0.2666,0.178,0.2099,706.0,0.1584,0.0,150.0,856.0,0.2548,0.2964,0.6388,0.2496,856.0,854.0,0.0,1710.0,1.0,0.0,2.0,1.0,3.0,1.0,0.2698,8.0,0.1814,0.0,0.0,0.1817,2003.0,0.2939,2.0,548.0,0.193,0.2296,0.4298,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,0.1035,0.1726
20.0,0.259,80.0,9600.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1837,0.3097,0.0519,0.0875,0.1256,0.2426,0.1335,6.0,8.0,1976.0,1976.0,0.1505,0.1048,0.0599,0.0534,0.1548,0.0,0.1736,0.2509,0.155,0.2273,0.2666,0.2769,0.1441,978.0,0.1584,0.0,284.0,1262.0,0.2548,0.2964,0.6388,0.2496,1262.0,0.0,0.0,1262.0,0.0,1.0,2.0,0.0,3.0,1.0,0.178,6.0,0.1814,1.0,0.1928,0.1817,1976.0,0.2939,2.0,460.0,0.193,0.2296,0.4298,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2007.0,0.1035,0.1726
60.0,0.259,68.0,11250.0,0.5818,0.0,0.2493,0.2376,0.5682,0.1826,0.3097,0.043,0.1133,0.1256,0.2426,0.1593,7.0,5.0,2001.0,2002.0,0.1505,0.1048,0.0856,0.0765,0.2028,162.0,0.2786,0.2509,0.2331,0.2273,0.2666,0.2071,0.2099,486.0,0.1584,0.0,434.0,920.0,0.2548,0.2964,0.6388,0.2496,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1.0,3.0,1.0,0.2698,6.0,0.1814,1.0,0.1928,0.1817,2001.0,0.2939,2.0,608.0,0.193,0.2296,0.4298,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,0.1035,0.1726
70.0,0.259,60.0,9550.0,0.5818,0.0,0.2493,0.2376,0.5682,0.1875,0.3097,0.0458,0.1133,0.1256,0.2426,0.1593,7.0,5.0,1915.0,1970.0,0.1505,0.1048,0.06,0.0575,0.1548,0.0,0.1736,0.2509,0.1369,0.1578,0.3102,0.178,0.1441,216.0,0.1584,0.0,540.0,756.0,0.2548,0.2163,0.6388,0.2496,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,3.0,1.0,0.2698,7.0,0.1814,1.0,0.2122,0.1201,1998.0,0.2067,3.0,642.0,0.193,0.2296,0.4298,0.0,35.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2006.0,0.1035,0.1443
60.0,0.259,84.0,14260.0,0.5818,0.0,0.2493,0.2376,0.5682,0.1837,0.3097,0.0729,0.1133,0.1256,0.2426,0.1593,8.0,5.0,2000.0,2000.0,0.1505,0.1048,0.0856,0.0765,0.2028,350.0,0.2786,0.2509,0.2331,0.2273,0.2666,0.222,0.2099,655.0,0.1584,0.0,490.0,1145.0,0.2548,0.2964,0.6388,0.2496,1145.0,1053.0,0.0,2198.0,1.0,0.0,2.0,1.0,4.0,1.0,0.2698,9.0,0.1814,1.0,0.1928,0.1817,2000.0,0.2939,3.0,836.0,0.193,0.2296,0.4298,192.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2008.0,0.1035,0.1726
50.0,0.259,85.0,14115.0,0.5818,0.0,0.2493,0.2376,0.5682,0.1826,0.3097,0.034,0.1133,0.1256,0.2426,0.1086,5.0,5.0,1993.0,1995.0,0.1505,0.1048,0.0856,0.0765,0.1548,0.0,0.1736,0.2509,0.1921,0.2273,0.2666,0.178,0.2099,732.0,0.1584,0.0,64.0,796.0,0.2548,0.2964,0.6388,0.2496,796.0,566.0,0.0,1362.0,1.0,0.0,1.0,1.0,1.0,1.0,0.178,5.0,0.1814,0.0,0.0,0.1817,1993.0,0.2067,2.0,480.0,0.193,0.2296,0.4298,40.0,30.0,0.0,320.0,0.0,0.0,0.0,0.247,0.227,700.0,10.0,2009.0,0.1035,0.1726
20.0,0.259,75.0,10084.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1826,0.3097,0.049,0.1133,0.1256,0.2426,0.1335,8.0,5.0,2004.0,2005.0,0.1505,0.1048,0.0856,0.0765,0.2631,186.0,0.2786,0.2509,0.2331,0.3667,0.2666,0.222,0.2099,1369.0,0.1584,0.0,317.0,1686.0,0.2548,0.2964,0.6388,0.2496,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0,3.0,1.0,0.2698,7.0,0.1814,1.0,0.2122,0.1817,2004.0,0.2939,2.0,636.0,0.193,0.2296,0.4298,255.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,0.1035,0.1726
60.0,0.259,74.9099794133667,10382.0,0.5818,0.0,0.2493,0.2376,0.5682,0.1875,0.3097,0.0411,0.1321,0.1256,0.2426,0.1593,7.0,6.0,1973.0,1973.0,0.1505,0.1048,0.0653,0.0598,0.2631,240.0,0.1736,0.2509,0.155,0.2273,0.2666,0.2071,0.1441,859.0,0.1296,32.0,216.0,1107.0,0.2548,0.2964,0.6388,0.2496,1107.0,983.0,0.0,2090.0,1.0,0.0,2.0,1.0,3.0,1.0,0.178,7.0,0.1814,2.0,0.1928,0.1817,1973.0,0.2939,2.0,484.0,0.193,0.2296,0.4298,235.0,204.0,228.0,0.0,0.0,0.0,0.0,0.0,0.227,350.0,11.0,2009.0,0.1035,0.1726
50.0,0.1713,51.0,6120.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1826,0.3097,0.0279,0.0829,0.1256,0.2426,0.1086,7.0,5.0,1931.0,1950.0,0.1505,0.1048,0.078,0.0575,0.1548,0.0,0.1736,0.2509,0.1369,0.1578,0.2666,0.178,0.1522,0.0,0.1584,0.0,952.0,952.0,0.2548,0.2163,0.6388,0.1438,1022.0,752.0,0.0,1774.0,0.0,0.0,2.0,0.0,2.0,2.0,0.178,8.0,0.1448,2.0,0.1928,0.1201,1931.0,0.2067,2.0,468.0,0.1272,0.2296,0.4298,90.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2008.0,0.1035,0.1443
190.0,0.259,50.0,7420.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1875,0.3097,0.0271,0.0829,0.0738,0.1678,0.0835,5.0,6.0,1939.0,1950.0,0.1505,0.1048,0.0599,0.0534,0.1548,0.0,0.1736,0.2509,0.1369,0.1578,0.2666,0.178,0.2099,851.0,0.1584,0.0,140.0,991.0,0.2548,0.2964,0.6388,0.2496,1077.0,0.0,0.0,1077.0,1.0,0.0,1.0,0.0,2.0,2.0,0.178,5.0,0.1814,2.0,0.1928,0.1817,1939.0,0.2939,1.0,205.0,0.2222,0.2296,0.4298,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,0.1035,0.1726
